,0,1,2,3,4,5
0,0.5,0.75,0.5,0.5625,0.4375,0.46875
1,1.0,0.75,0.75,0.625,0.4375,0.484375
2,0.5,0.25,0.25,0.5,0.46875,0.4375
3,1.0,0.75,0.75,0.75,0.65625,0.546875
4,0.5,0.5,0.375,0.5625,0.46875,0.515625
5,1.0,0.75,0.5,0.4375,0.40625,0.453125
6,0.0,0.0,0.25,0.25,0.28125,0.375
7,0.0,0.25,0.375,0.375,0.4375,0.484375
8,0.5,0.75,0.625,0.375,0.4375,0.484375
9,1.0,0.75,0.625,0.5,0.3125,0.375
10,0.0,0.5,0.5,0.4375,0.375,0.421875
11,0.5,0.5,0.625,0.5625,0.59375,0.578125
12,0.0,0.25,0.5,0.5,0.5625,0.59375
13,0.5,0.5,0.375,0.5,0.46875,0.53125
14,0.0,0.25,0.25,0.5,0.53125,0.5
15,0.5,0.5,0.625,0.5625,0.5625,0.4375
16,1.0,1.0,0.625,0.4375,0.53125,0.5625
17,0.5,0.5,0.5,0.5,0.5625,0.5625
18,0.5,0.5,0.625,0.5625,0.53125,0.484375
19,0.0,0.25,0.5,0.5625,0.59375,0.5625
20,0.0,0.0,0.375,0.3125,0.4375,0.484375
21,1.0,0.5,0.625,0.5,0.5625,0.578125
22,0.5,0.5,0.375,0.375,0.53125,0.5
23,0.5,0.5,0.5,0.4375,0.4375,0.484375
24,0.0,0.25,0.375,0.4375,0.4375,0.453125
25,0.5,0.5,0.375,0.5625,0.59375,0.5
26,1.0,1.0,0.5,0.625,0.5625,0.484375
27,0.5,0.25,0.5,0.6875,0.5,0.453125
28,0.5,0.75,0.625,0.5,0.5,0.515625
29,0.5,0.75,0.5,0.625,0.53125,0.46875
30,0.5,0.75,0.375,0.5,0.4375,0.40625
31,0.5,0.5,0.375,0.5625,0.59375,0.5625
32,1.0,0.75,0.625,0.5625,0.40625,0.484375
33,1.0,1.0,0.875,0.75,0.53125,0.515625
34,1.0,0.75,0.75,0.5625,0.5625,0.515625
35,0.0,0.25,0.125,0.3125,0.34375,0.328125
36,0.0,0.25,0.25,0.1875,0.5,0.46875
37,0.5,0.25,0.375,0.25,0.34375,0.40625
38,1.0,0.5,0.625,0.5625,0.53125,0.53125
39,0.5,0.25,0.25,0.375,0.375,0.390625
40,0.5,0.5,0.625,0.5625,0.46875,0.546875
41,1.0,1.0,0.875,0.625,0.53125,0.53125
