,0,1,2,3,4,5
0,0.5,0.5,0.375,0.375,0.5,0.46875
1,0.5,0.25,0.25,0.375,0.4375,0.515625
2,1.0,1.0,0.875,0.6875,0.5625,0.640625
3,0.5,0.25,0.25,0.25,0.40625,0.4375
4,0.5,0.5,0.5,0.6875,0.53125,0.515625
5,0.0,0.5,0.5,0.5625,0.5625,0.453125
6,1.0,0.5,0.375,0.375,0.46875,0.53125
7,0.5,0.75,0.5,0.3125,0.3125,0.390625
8,0.5,0.5,0.5,0.5,0.5,0.484375
9,0.0,0.0,0.25,0.4375,0.4375,0.546875
10,0.5,0.5,0.5,0.5,0.5,0.484375
11,1.0,0.75,0.375,0.375,0.40625,0.40625
12,0.5,0.25,0.375,0.4375,0.4375,0.4375
13,0.0,0.25,0.25,0.4375,0.4375,0.40625
14,0.5,0.25,0.5,0.3125,0.40625,0.53125
15,0.5,0.25,0.375,0.5,0.53125,0.4375
16,1.0,0.75,0.75,0.6875,0.53125,0.625
17,0.5,0.5,0.5,0.4375,0.5625,0.578125
18,0.0,0.25,0.25,0.375,0.4375,0.40625
19,0.5,0.25,0.375,0.5,0.53125,0.515625
20,1.0,0.5,0.625,0.5625,0.59375,0.53125
21,1.0,0.75,0.625,0.5625,0.59375,0.59375
22,1.0,1.0,0.75,0.6875,0.65625,0.515625
23,1.0,0.75,0.75,0.5625,0.5,0.515625
24,0.0,0.25,0.125,0.4375,0.4375,0.515625
25,0.5,0.5,0.5,0.5,0.46875,0.484375
26,1.0,0.75,0.625,0.625,0.5,0.5
27,0.5,0.25,0.375,0.3125,0.40625,0.4375
28,1.0,0.75,0.75,0.5625,0.5,0.515625
29,0.0,0.5,0.625,0.5625,0.5625,0.53125
30,0.5,0.5,0.375,0.4375,0.5625,0.640625
31,1.0,0.75,0.375,0.3125,0.34375,0.5
32,0.5,0.25,0.25,0.25,0.375,0.40625
33,0.5,0.75,0.75,0.6875,0.71875,0.71875
34,0.5,0.5,0.5,0.5625,0.53125,0.421875
35,0.5,0.5,0.375,0.3125,0.46875,0.46875
36,0.0,0.0,0.125,0.25,0.375,0.421875
37,1.0,0.75,0.75,0.625,0.625,0.46875
38,0.0,0.0,0.25,0.4375,0.375,0.4375
39,0.5,0.5,0.5,0.6875,0.5625,0.609375
40,0.5,0.5,0.625,0.5625,0.625,0.578125
41,0.5,0.5,0.375,0.375,0.40625,0.4375
42,0.5,0.5,0.625,0.6875,0.625,0.578125
43,0.5,0.25,0.375,0.5,0.53125,0.59375
44,0.5,0.75,0.875,0.6875,0.5625,0.578125
45,0.0,0.25,0.375,0.5625,0.4375,0.46875
46,0.5,0.5,0.625,0.4375,0.40625,0.4375
47,0.0,0.5,0.75,0.5625,0.625,0.515625
48,0.5,0.25,0.25,0.375,0.375,0.40625
49,0.5,0.25,0.5,0.5625,0.46875,0.46875
50,0.0,0.0,0.25,0.25,0.34375,0.390625
51,1.0,0.75,0.375,0.375,0.5,0.515625
52,1.0,0.75,0.375,0.5,0.53125,0.546875
53,0.0,0.0,0.25,0.3125,0.4375,0.453125
54,0.5,0.75,0.5,0.5,0.5,0.53125
55,0.0,0.25,0.25,0.375,0.34375,0.46875
56,0.5,0.5,0.375,0.5625,0.59375,0.515625
57,1.0,0.75,0.5,0.4375,0.4375,0.515625
58,0.5,0.75,0.625,0.5,0.40625,0.46875
59,0.0,0.25,0.625,0.4375,0.5,0.578125
60,1.0,0.5,0.625,0.625,0.5625,0.640625
